subID,Grit_score,BSCS_score,BFI_E_score,BFI_A_score,BFI_C_score,BFI_N_score,BFI_O_score,Planfulness_score,Planfulnesscenter,Week1_count,Week2_count,Week3_count,Week4_count,Week5_count,Week6_count,Week7_count,Week8_count,Week9_count,Week10_count,Week11_count,Week12_count,Week13_count,Week14_count,Week15_count,Week16_count,Week17_count,Week18_count,Week19_count,Week20_count
9985046,3.333333333,2.769230769,3.383333333,3.284972678,3.446263,3.25578681,3.34953681,3.933333333,0.280901542,5,5,3,3,2,2,3,2,1,3,5,6,4,4,5,7,6,4,4,4
9886086,2,1.461538462,3.55,3.353278689,3.288762559,3.987175258,3.362175258,2.766666667,-0.885765125,5,3,2,1,4,6,4,2,1,4,4,3,3,1,1,1,4,4,3,2
9884883,2.916666667,3.692307692,3.4,3.006557377,3.264621893,3.074145703,3.261645703,3.566666667,-0.085765125,6,3,1,2,3,1,1,2,1,1,5,5,5,5,4,3,4,6,5,3
9803716,2.5,2.538461538,3.016666667,2.918306011,3.079596334,3.079596334,3.017096334,3.233333333,-0.419098458,1,1,1,1,1,1,1,0,0,0,2,2,0,1,2,2,2,2,2,2
9792061,3,2.923076923,3.85,3.587704918,3.748995241,3.653757145,3.778757145,3.4,-0.252431791,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,1,4,2,1,5
9777572,3.416666667,3.461538462,3.516666667,3.549453552,3.613969681,3.201271268,3.857521268,3.7,0.047568209,2,0,0,0,2,1,0,0,0,0,2,2,1,2,0,1,1,1,2,2
9707611,3.666666667,3.538461538,3.083333333,3.24726776,3.440816147,3.123355829,3.060855829,3.8,0.147568209,10,9,4,5,5,7,5,4,4,4,4,6,2,3,2,3,2,2,0,2
9660851,3.416666667,3.076923077,3.383333333,3.350546448,3.060223867,3.155461963,3.436711963,3,-0.652431791,0,0,0,0,1,0,0,0,0,0,5,4,3,3,3,4,4,2,4,3
9655426,4.333333333,4.076923077,3.05,3.148360656,3.245134849,2.70545231,3.17420231,3.833333333,0.180901542,4,5,3,6,3,6,3,3,3,10,7,8,7,9,8,9,9,8,8,0
9640166,4.25,3.461538462,3.433333333,3.203825137,3.268341266,3.363579361,3.519829361,4.433333333,0.780901542,1,1,0,1,0,1,0,0,0,0,6,3,1,1,3,1,0,2,0,0
9615390,4.083333333,3.538461538,3.5,3.43442623,3.176361713,2.890647428,3.390647428,3.6,-0.052431791,1,4,3,0,0,0,0,0,0,0,1,6,6,1,4,3,4,4,4,3
9603803,3.666666667,2.846153846,3.583333333,3.550546448,3.292481932,3.006767646,3.506767646,3.066666667,-0.585765125,4,4,1,0,0,0,0,0,2,1,6,3,5,3,4,1,5,4,4,1
9601316,3.916666667,3,3.933333333,3.933333333,3.772043011,3.58156682,3.55031682,4.033333333,0.380901542,6,2,3,3,3,2,5,1,0,2,2,5,4,3,2,3,2,3,4,4
9577315,3.666666667,4.230769231,3.283333333,3.480054645,3.318764322,2.874319878,3.093069878,3.166666667,-0.485765125,1,2,2,2,2,5,1,3,1,2,2,4,3,1,3,3,5,5,3,4
9567472,3.583333333,4.076923077,3.216666667,3.183879781,3.345170104,3.027709787,3.558959787,4.633333333,0.980901542,3,5,3,4,4,6,6,5,2,3,7,5,5,5,3,1,4,5,2,3
9545166,3.5,3.384615385,3.35,3.251639344,3.154865151,3.027881024,3.340381024,3.966666667,0.314234875,4,6,5,6,4,6,7,7,2,5,6,6,7,6,6,6,6,5,8,4
9426570,2.75,3.461538462,3.116666667,3.149453552,3.181711616,2.895997331,3.145997331,3.5,-0.152431791,5,5,6,5,3,5,4,6,3,2,5,4,5,3,5,4,3,7,5,3
9406228,4,3.846153846,3.183333333,3.314480874,3.346738939,2.870548463,3.433048463,3.4,-0.252431791,0,0,0,0,1,2,1,2,0,1,7,6,4,1,1,1,2,1,6,1
9385741,3,3.153846154,3,3.032786885,2.968270756,2.714302502,3.089302502,3.7,0.047568209,11,3,4,1,3,3,1,1,1,1,6,8,8,7,4,3,3,5,3,4
9371079,3.5,2.153846154,3.433333333,3.302185792,3.269927728,3.206435664,3.487685664,3.466666667,-0.185765125,4,0,8,8,6,9,6,8,2,5,4,3,4,0,1,2,3,5,2,0
9364184,3.916666667,4.538461538,3.433333333,3.433333333,3.62688172,2.89672299,3.55297299,4.333333333,0.680901542,2,1,3,1,0,2,0,3,1,0,5,5,5,2,2,3,2,3,5,4
9347987,4.333333333,3.769230769,3.45,3.253278689,3.317794818,2.746366246,3.402616246,4.4,0.747568209,4,5,3,5,3,4,4,3,0,4,4,3,4,4,4,5,4,4,4,5
9296431,2.583333333,2.461538462,3,3.196721311,2.97091486,2.875676765,3.250676765,3,-0.652431791,0,0,0,0,0,0,0,0,0,0,7,5,4,1,0,0,0,0,0,0
9275818,3.416666667,2.923076923,3.6,3.6,3.632258065,3.568766001,3.631266001,3.466666667,-0.185765125,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,3,2,4,3,2
9188921,3.833333333,3.153846154,3.1,3.427868852,3.363352723,2.918908279,3.450158279,3.7,0.047568209,5,3,2,5,3,2,4,3,3,4,0,2,0,0,0,1,2,0,0,2
9166862,3,2.538461538,3.433333333,3.269398907,3.333915036,3.429153131,3.147903131,3.6,-0.052431791,5,1,2,3,0,5,5,4,2,4,6,4,7,5,6,5,6,4,6,4
9090959,3.333333333,3.076923077,3.183333333,3.248907104,2.990842588,2.959096556,3.396596556,3.833333333,0.180901542,3,5,5,5,4,4,5,5,2,3,2,5,5,5,4,6,5,7,6,4
9047427,4.166666667,3.153846154,3.283333333,3.086612022,3.280160409,2.93095406,3.14970406,4.066666667,0.414234875,6,2,7,5,5,4,7,6,3,5,7,9,9,7,6,8,7,5,4,9
8955816,3.583333333,3.769230769,3.15,3.346721311,3.153172924,2.676982448,3.176982448,3.233333333,-0.419098458,3,2,3,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2
8955739,3.25,3.307692308,3.266666667,3.266666667,3.202150538,3.138658474,3.357408474,3.7,0.047568209,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,1,1,2,1,2
8941162,3.833333333,3.615384615,3.233333333,3.528415301,3.302608849,3.334354881,3.459354881,4,0.347568209,1,3,3,4,4,8,7,5,1,6,2,7,3,2,4,5,5,3,3,4
8934989,3.166666667,1.923076923,3.466666667,3.335519126,3.174228803,3.396451025,3.333951025,3.166666667,-0.485765125,5,3,2,3,1,0,0,1,0,0,4,6,4,1,4,2,1,5,3,1
8898997,3.5,3.076923077,3,3.229508197,3.132734003,3.196226067,3.039976067,3.2,-0.452431791,1,0,0,0,6,0,1,1,0,3,2,4,3,5,6,1,4,4,1,1
8887881,3.5,2.923076923,3.266666667,3.299453552,3.170421294,3.265659389,3.328159389,3.466666667,-0.185765125,0,0,4,2,1,3,1,8,0,7,2,6,5,2,6,4,1,3,2,2
8843383,3.666666667,3.461538462,2.966666667,3.097814208,3.194588401,3.099350306,2.943100306,3.7,0.047568209,2,1,3,2,1,2,2,3,1,2,3,2,3,3,3,1,4,3,2,2
8841748,3.333333333,3.153846154,3.533333333,3.238251366,3.33502556,3.081057306,3.268557306,3.933333333,0.280901542,3,1,0,0,0,5,3,7,2,4,6,6,6,6,4,6,6,1,1,0
8794757,2.083333333,2.615384615,3.166666667,3.101092896,3.165609025,3.578307438,3.234557438,2.766666667,-0.885765125,3,0,2,0,0,1,1,2,0,0,2,3,1,0,1,0,0,0,0,0
8750230,3.916666667,3.615384615,3.45,3.318852459,3.447884717,2.812964082,3.187964082,3.833333333,0.180901542,4,2,0,3,3,3,2,3,1,2,4,5,4,4,5,6,3,3,2,0
8747006,2.916666667,3.846153846,3.05,3.246721311,3.278979376,3.056757154,3.244257154,3.766666667,0.114234875,6,5,4,4,6,5,7,7,2,5,6,8,7,6,7,7,6,7,6,4
8741987,2.916666667,2.538461538,3.116666667,3.247814208,3.054265821,3.212995979,3.431745979,3.1,-0.552431791,4,2,3,1,2,1,3,1,1,2,3,3,3,2,1,0,0,0,0,1
8737292,4.333333333,3.846153846,3.55,3.582786885,3.711819143,3.203882635,3.672632635,4.166666667,0.514234875,9,10,10,9,11,9,12,10,6,9,8,8,12,11,9,11,15,11,2,10
8712837,3.833333333,3.384615385,3.216666667,3.216666667,3.184408602,3.470122888,3.563872888,3.3,-0.352431791,3,2,2,2,1,1,2,4,1,2,5,2,1,3,3,2,1,4,3,0
8708719,4.083333333,3.615384615,3.466666667,3.204371585,3.720500617,3.212564109,3.650064109,4.333333333,0.680901542,5,5,4,4,4,4,3,4,2,4,14,8,10,9,12,6,7,8,7,7
8663947,3.666666667,3.692307692,3.4,3.203278689,3.461343205,3.302613046,3.365113046,3.966666667,0.314234875,12,2,4,5,6,4,6,5,4,5,0,5,9,7,7,6,5,10,8,5
8662560,2.333333333,3,3.2,3.429508197,3.494024326,3.557516389,3.213766389,3.566666667,-0.085765125,4,4,2,1,2,2,1,2,1,2,2,3,2,1,2,2,3,3,1,2
8645963,2.5,2.384615385,3.45,3.581147541,3.452115283,3.674337505,3.643087505,3.066666667,-0.585765125,0,4,4,4,1,4,4,3,2,2,5,4,1,3,3,3,1,2,4,1
8493302,4,3.615384615,3.566666667,3.468306011,3.53282214,3.024885632,3.306135632,4.2,0.547568209,6,2,0,2,2,4,3,3,1,3,5,5,5,6,7,4,6,5,5,5
8455627,3.5,3.846153846,3.266666667,3.135519126,3.264551384,2.947091066,3.540841066,3.033333333,-0.619098458,4,4,4,4,2,4,4,3,0,0,0,2,5,3,0,5,4,5,2,1
8444711,3.5,3.461538462,3.05,3.148360656,3.245134849,3.022912627,3.304162627,3.433333333,-0.219098458,3,4,2,3,2,2,4,4,1,0,2,4,0,4,4,3,2,5,4,1
8408469,3.916666667,4,3.216666667,3.183879781,3.345170104,2.773741533,3.117491533,4.2,0.547568209,2,3,2,1,1,3,1,3,2,3,3,3,5,3,3,1,4,3,3,2
8407341,4.333333333,3.230769231,3.55,3.222131148,3.38342147,3.288183375,3.381933375,4.3,0.647568209,5,5,5,3,3,5,4,4,1,3,4,4,4,4,3,3,3,5,3,4
8376713,3.25,3.307692308,3.316666667,3.447814208,3.222007756,3.126769661,3.533019661,3.166666667,-0.485765125,4,2,3,4,3,2,3,4,0,3,3,4,5,3,5,1,4,2,5,4
8375467,2.916666667,2.615384615,3.65,3.551639344,3.454865151,3.359627055,3.672127055,3.633333333,-0.019098458,6,5,7,4,5,5,6,4,3,4,6,5,6,6,6,4,6,5,6,4
8372610,3.916666667,3.769230769,3.033333333,3.328415301,3.360673365,3.074959079,3.387459079,3.866666667,0.214234875,1,2,5,3,4,3,2,3,2,2,7,6,4,2,2,4,4,5,3,3
8276906,4.416666667,3.230769231,3.733333333,3.536612022,3.794676538,3.572454316,3.728704316,4.666666667,1.014234875,0,0,0,0,0,0,0,0,1,0,3,4,5,5,3,5,6,5,6,4
8251996,3.25,3.384615385,3.383333333,3.416120219,3.319346025,3.319346025,3.569346025,3.766666667,0.114234875,6,11,7,6,5,4,5,7,4,4,3,9,6,7,9,5,7,6,6,4
8201679,3.5,2.692307692,3.116666667,3.444535519,3.186471003,2.742026559,3.210776559,2.933333333,-0.719098458,0,1,2,3,3,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0
8132502,3.25,3.538461538,3.316666667,3.251092896,3.218834832,3.441057054,3.472307054,3.7,0.047568209,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0
8119386,3.166666667,2.692307692,3.216666667,3.183879781,2.990331394,2.958585363,3.271085363,3.366666667,-0.285765125,4,5,5,4,6,5,5,6,3,6,5,7,2,6,4,8,5,7,7,4
8081236,4.833333333,4.384615385,3.5,3.467213115,3.499471179,2.832804513,3.239054513,4.166666667,0.514234875,2,0,4,0,0,0,0,0,0,0,1,6,0,1,2,0,0,0,1,0
8068657,3,2.769230769,3.3,3.23442623,3.395716552,3.427462584,3.552462584,3.466666667,-0.185765125,1,2,0,1,0,2,1,0,0,0,4,2,4,3,3,5,3,4,2,3
8066597,4.25,4,3.65,3.420491803,3.646298255,3.233599842,3.358599842,4,0.347568209,4,7,7,6,7,5,6,7,2,5,6,6,3,7,6,5,4,5,5,4
8048076,2.833333333,3.307692308,3.066666667,3.066666667,3.131182796,3.004198669,3.066698669,3.566666667,-0.085765125,2,1,4,6,5,4,5,4,2,5,5,5,6,6,2,4,4,2,4,3
7995717,3.333333333,3.846153846,3.35,3.317213115,3.478503437,3.192789152,3.317789152,3.666666667,0.014234875,4,0,0,1,0,2,1,1,0,3,6,8,4,6,4,3,5,1,3,1
7977801,3.416666667,4.076923077,3.05,3.148360656,3.019328398,2.797106175,3.047106175,3.8,0.147568209,7,3,5,5,5,4,6,5,3,5,6,6,5,6,6,5,5,7,4,4
7891486,4,3.692307692,3.133333333,3.067759563,3.164533756,2.974057566,3.286557566,3.933333333,0.280901542,0,4,3,0,2,2,0,0,0,0,2,3,4,4,0,3,2,3,3,5
7791280,3.333333333,2.307692308,3.466666667,3.499453552,3.338163229,3.750861642,3.563361642,3.4,-0.252431791,2,2,3,2,4,1,1,2,2,2,4,5,5,3,1,2,2,3,5,3
7784811,3.916666667,3.846153846,3.683333333,3.421038251,3.550070509,3.296102255,3.764852255,4.066666667,0.414234875,0,0,0,0,0,0,0,0,0,0,3,3,1,4,1,3,1,4,1,4
7752402,3.583333333,4,2.85,3.046721311,3.17575357,3.17575357,3.05075357,3.733333333,0.080901542,8,6,6,4,7,7,8,8,2,5,6,9,6,6,6,6,6,5,6,5
7749203,3.5,2.461538462,3.3,3.168852459,3.297884717,3.329630749,3.235880749,3.933333333,0.280901542,0,1,0,0,0,4,3,4,0,2,7,11,3,2,11,5,3,7,5,4
7739613,3,3,3,3,3,3,3,3,-0.652431791,1,0,0,0,0,0,0,1,1,0,0,4,1,0,0,1,1,0,0,0
7700527,4.083333333,4.615384615,3.1,3.1,3.519354839,3.233640553,3.171140553,3.333333333,-0.319098458,2,1,2,3,3,1,1,4,1,0,0,2,3,1,3,2,1,2,0,2
7515773,2.833333333,3.461538462,3.216666667,3.708469945,3.514921558,3.070477114,3.507977114,4,0.347568209,6,5,5,6,4,5,5,8,2,6,5,4,5,4,2,4,5,5,3,4
7514395,3.583333333,3.692307692,3.65,3.453278689,3.453278689,3.326294562,3.763794562,3.7,0.047568209,1,5,2,2,3,4,4,1,1,1,3,4,0,2,0,2,1,4,3,2
7502556,3.75,4.153846154,2.983333333,3.311202186,3.311202186,2.803265678,3.240765678,3.766666667,0.114234875,2,2,1,2,4,2,4,2,1,1,5,3,2,2,1,1,1,2,1,3
7479255,3.75,3.923076923,3.333333333,3.005464481,3.392561255,2.884624747,3.197124747,4.433333333,0.780901542,2,2,5,2,1,9,1,4,0,0,1,7,5,2,3,4,3,8,7,6
7455922,3.666666667,2.923076923,3.216666667,3.511748634,3.285942182,3.254196151,3.160446151,3.766666667,0.114234875,6,5,5,5,3,5,3,3,2,3,8,5,5,5,5,5,7,4,5,3
7448820,3.75,3.461538462,3.65,3.420491803,3.420491803,3.293507676,3.387257676,3.633333333,-0.019098458,1,3,0,0,0,0,2,5,1,0,1,3,6,4,7,0,2,2,2,4
7406147,3.833333333,4.230769231,3.333333333,3.431693989,3.205887537,2.729697061,3.323447061,4.066666667,0.414234875,0,0,0,0,0,2,1,1,0,1,5,1,0,0,0,0,0,0,0,2
7378094,3.333333333,3.153846154,3.1,3.263934426,3.199418297,3.008942107,3.071442107,3.766666667,0.114234875,2,2,2,2,1,0,5,3,1,1,3,5,5,3,3,1,5,2,1,3
7348242,2.333333333,2.461538462,3.566666667,3.238797814,3.432346201,3.59107636,3.68482636,3.1,-0.552431791,3,5,6,3,2,2,4,4,0,2,4,6,4,3,3,5,4,3,2,2
7339014,3.583333333,3.846153846,3.183333333,3.380054645,3.315538516,2.934586135,3.184586135,3.466666667,-0.185765125,2,0,3,1,1,1,1,1,3,0,6,3,2,3,3,6,4,3,1,2
7329754,3,3.692307692,3.266666667,3.365027322,3.235995064,2.823296652,3.292046652,4.1,0.447568209,4,2,3,3,5,2,4,4,4,3,4,4,4,4,4,4,4,3,5,4
7315112,3.166666667,3,3.416666667,3.318306011,3.350564075,3.191833917,3.379333917,3.066666667,-0.585765125,2,1,3,0,1,0,2,1,1,1,1,5,6,5,5,5,5,8,5,2
7223859,3.416666667,3,3.166666667,3.56010929,3.56010929,3.274395004,3.086895004,3.666666667,0.014234875,0,0,0,0,0,0,2,3,1,0,5,10,6,10,6,2,2,0,0,1
7099868,3.75,3.384615385,3.233333333,3.39726776,3.235977437,3.235977437,3.267227437,3.233333333,-0.419098458,1,2,1,1,2,2,3,3,1,0,2,3,3,3,4,4,1,4,4,2
7067481,3.666666667,3.230769231,3.266666667,3.201092896,3.168834832,2.978358641,3.290858641,3.533333333,-0.119098458,8,7,5,6,5,2,5,6,2,2,4,6,9,5,5,7,7,8,7,6
7024710,2.666666667,3.307692308,3.516666667,3.516666667,3.419892473,3.419892473,3.482392473,3.8,0.147568209,0,1,0,1,0,0,2,0,0,0,11,9,9,7,7,4,8,5,3,5
7018231,4,4.769230769,3.616666667,3.419945355,3.871558258,3.36362175,3.64487175,4.566666667,0.914234875,6,5,5,4,2,3,7,3,2,1,6,5,7,4,2,7,4,6,2,0
6976755,3.583333333,3.384615385,2.916666667,3.31010929,3.116560903,3.021322807,3.271322807,3.066666667,-0.585765125,0,4,3,1,0,3,6,3,1,1,4,2,5,5,5,4,3,4,4,3
6974062,2.5,2.846153846,3.05,2.951639344,3.016155473,2.857425315,3.201175315,2.7,-0.952431791,0,0,0,0,2,1,0,3,2,0,0,3,2,3,3,0,2,3,3,1
6966788,3.666666667,3.076923077,3.666666667,3.273224044,3.208707915,3.272199978,3.459699978,4.366666667,0.714234875,0,0,0,0,0,0,2,0,0,0,0,2,3,3,1,2,4,1,2,3
6932549,2.75,2.692307692,3.366666667,3.366666667,3.302150538,3.365642601,3.303142601,3.066666667,-0.585765125,6,4,4,7,3,3,4,4,5,6,3,4,5,5,2,1,3,2,4,1
6777207,3.833333333,3.538461538,2.866666667,3.227322404,3.227322404,2.909862087,3.128612087,3.6,-0.052431791,0,0,0,0,0,0,0,0,0,0,2,4,5,3,3,3,3,5,0,2
6710326,2.5,2.230769231,3.55,3.353278689,3.159730301,3.508936651,3.446436651,2.766666667,-0.885765125,1,0,0,0,0,0,0,0,0,0,3,5,4,0,3,5,2,2,2,1
6692547,3,3.307692308,3.083333333,2.952185792,3.145734179,3.018750052,3.206250052,3.033333333,-0.619098458,2,1,2,1,1,1,0,2,0,0,5,7,3,1,1,3,4,4,3,3
6654060,3.5,2.846153846,3.1,3.296721311,3.103172924,3.325395147,3.356645147,3.833333333,0.180901542,5,7,5,6,4,1,2,1,2,5,3,3,3,2,1,3,3,2,4,3
6637482,2.75,3,3.5,3.172131148,3.430195664,3.398449632,3.398449632,3.633333333,-0.019098458,7,7,5,7,7,5,5,5,4,4,9,9,10,9,10,8,9,4,7,6
6572616,3.833333333,3.230769231,3.216666667,3.511748634,3.12465186,3.156397891,3.468897891,3.766666667,0.114234875,0,0,0,0,0,0,0,0,0,0,4,3,4,5,5,5,4,4,5,3
6553467,3.583333333,2.923076923,3.633333333,3.502185792,3.598959986,3.503721891,3.628721891,3.866666667,0.214234875,1,3,3,2,4,4,2,2,2,0,3,4,5,3,5,2,4,2,5,2
6547825,2.666666667,2.692307692,3.516666667,3.35273224,3.320474176,3.796664652,3.640414652,3.133333333,-0.519098458,3,0,0,0,0,0,0,0,0,0,5,3,7,3,2,4,3,0,1,5
6541162,3.416666667,3.153846154,3.4,3.268852459,3.55917504,3.273460754,3.242210754,3.666666667,0.014234875,5,5,3,4,2,1,5,2,1,2,3,3,6,6,6,7,6,7,7,4
6450853,2.75,3,3.316666667,3.218306011,3.347338269,3.18860811,3.34485811,3.5,-0.152431791,0,0,0,0,0,0,0,0,0,0,4,1,2,3,2,2,3,2,2,2
6380433,3.25,4,2.95,3.081147541,3.14566367,2.891695416,3.047945416,4.133333333,0.480901542,1,1,1,2,2,0,3,1,1,1,2,1,3,2,2,2,2,2,2,1
6337815,3.25,3.230769231,3.083333333,3.050546448,3.2763529,3.2763529,3.0263529,3.6,-0.052431791,2,1,1,2,0,1,0,1,0,0,6,4,3,4,3,1,2,4,2,2
6311035,4.25,3.384615385,2.916666667,3.244535519,2.889696809,3.175411095,2.956661095,3.433333333,-0.219098458,5,1,6,5,5,5,5,6,2,4,7,6,4,3,7,4,5,6,7,5
6303134,3.083333333,3.384615385,3.183333333,3.248907104,3.184390975,3.470105261,3.188855261,3.1,-0.552431791,0,1,0,0,0,0,0,0,0,0,4,2,4,4,2,5,3,6,4,4
6295940,3.333333333,3.384615385,3.4,3.662295082,3.43648863,3.214266408,3.589266408,3.933333333,0.280901542,6,5,1,3,2,3,5,3,1,3,3,3,6,6,6,3,6,4,4,4
6213753,4.666666667,5,3.316666667,3.382240437,3.382240437,2.747319802,2.903569802,4.533333333,0.880901542,0,0,1,6,1,0,0,0,0,0,2,5,1,3,2,4,3,4,2,2
6195947,3.75,3.923076923,3.3,3.23442623,3.202168165,2.662485625,3.193735625,3.9,0.247568209,5,0,3,4,5,1,1,2,1,3,6,5,4,4,2,3,4,4,4,4
6142591,3.5,3.307692308,3.4,3.432786885,3.400528821,3.146560567,3.396560567,3.633333333,-0.019098458,1,1,0,0,1,0,3,0,0,0,1,2,2,3,2,3,1,1,1,0
6099184,3.916666667,4.615384615,3.266666667,3.528961749,3.625735942,3.117799434,3.461549434,4.466666667,0.814234875,0,0,0,0,0,0,0,0,0,0,9,3,9,10,9,9,7,9,10,8
6099044,3.416666667,2.538461538,3.7,3.568852459,3.407562136,3.534546263,3.565796263,3.9,0.247568209,1,0,0,0,2,0,0,2,0,1,2,2,2,0,0,0,0,1,1,0
