subID,Grit_score,BSCS_score,BFI_E_score,BFI_A_score,BFI_C_score,BFI_N_score,BFI_O_score,Planfulness_score,r1.descriptiveness,r2.descriptiveness,r3.descriptiveness,r1.planfulness,r2.planfulness,r3.planfulness,Count,term,descriptiveness.average,planfulness.average
9985046,3.333333333,2.769230769,3.383333333,3.284972678,3.446263,3.25578681,3.34953681,3.933333333,0,0,0,0,0,0,29,fall,0,0
9985046,3.333333333,2.769230769,3.383333333,3.284972678,3.446263,3.25578681,3.34953681,3.933333333,0,0,0,0,0,0,49,winter,0,0
9886086,2,1.461538462,3.55,3.353278689,3.288762559,3.987175258,3.362175258,2.766666667,3,1,2,1,1,1,32,fall,2,1
9886086,2,1.461538462,3.55,3.353278689,3.288762559,3.987175258,3.362175258,2.766666667,3,1,2,1,1,1,26,winter,2,1
9884883,2.916666667,3.692307692,3.4,3.006557377,3.264621893,3.074145703,3.261645703,3.566666667,1,1,1,1,1,1,21,fall,1,1
9884883,2.916666667,3.692307692,3.4,3.006557377,3.264621893,3.074145703,3.261645703,3.566666667,1,1,1,1,1,1,45,winter,1,1
9803716,2.5,2.538461538,3.016666667,2.918306011,3.079596334,3.079596334,3.017096334,3.233333333,3,1,2,4,2,1,7,fall,2,2.333333333
9803716,2.5,2.538461538,3.016666667,2.918306011,3.079596334,3.079596334,3.017096334,3.233333333,3,1,2,4,2,1,17,winter,2,2.333333333
9792061,3,2.923076923,3.85,3.587704918,3.748995241,3.653757145,3.778757145,3.4,1,1,1,1,1,1,1,fall,1,1
9792061,3,2.923076923,3.85,3.587704918,3.748995241,3.653757145,3.778757145,3.4,1,1,1,1,1,1,23,winter,1,1
9777572,3.416666667,3.461538462,3.516666667,3.549453552,3.613969681,3.201271268,3.857521268,3.7,1,1,2,3,3,3,5,fall,1.333333333,3
9777572,3.416666667,3.461538462,3.516666667,3.549453552,3.613969681,3.201271268,3.857521268,3.7,1,1,2,3,3,3,14,winter,1.333333333,3
9707611,3.666666667,3.538461538,3.083333333,3.24726776,3.440816147,3.123355829,3.060855829,3.8,3,1,3,5,4,5,57,fall,2.333333333,4.666666667
9707611,3.666666667,3.538461538,3.083333333,3.24726776,3.440816147,3.123355829,3.060855829,3.8,3,1,3,5,4,5,26,winter,2.333333333,4.666666667
9660851,3.416666667,3.076923077,3.383333333,3.350546448,3.060223867,3.155461963,3.436711963,3,3,1,2,1,1,1,1,fall,2,1
