subID,Grit_score,BSCS_score,BFI_E_score,BFI_A_score,BFI_C_score,BFI_N_score,BFI_O_score,Planfulness_score,r1.descriptiveness,r2.descriptiveness,r3.descriptiveness,r1.planfulness,r2.planfulness,r3.planfulness
9985046,3.333333333,2.769230769,3.383333333,3.284972678,3.446263,3.25578681,3.34953681,3.933333333,0,0,0,0,0,0
9886086,2,1.461538462,3.55,3.353278689,3.288762559,3.987175258,3.362175258,2.766666667,3,1,2,1,1,1
9884883,2.916666667,3.692307692,3.4,3.006557377,3.264621893,3.074145703,3.261645703,3.566666667,1,1,1,1,1,1
9803716,2.5,2.538461538,3.016666667,2.918306011,3.079596334,3.079596334,3.017096334,3.233333333,3,1,2,4,2,1
9792061,3,2.923076923,3.85,3.587704918,3.748995241,3.653757145,3.778757145,3.4,1,1,1,1,1,1
9777572,3.416666667,3.461538462,3.516666667,3.549453552,3.613969681,3.201271268,3.857521268,3.7,1,1,2,3,3,3
9707611,3.666666667,3.538461538,3.083333333,3.24726776,3.440816147,3.123355829,3.060855829,3.8,3,1,3,5,4,5
9660851,3.416666667,3.076923077,3.383333333,3.350546448,3.060223867,3.155461963,3.436711963,3,3,1,2,1,1,1
9655426,4.333333333,4.076923077,3.05,3.148360656,3.245134849,2.70545231,3.17420231,3.833333333,0,0,0,0,0,0
9640166,4.25,3.461538462,3.433333333,3.203825137,3.268341266,3.363579361,3.519829361,4.433333333,3,3,2,1,2,4
9615390,4.083333333,3.538461538,3.5,3.43442623,3.176361713,2.890647428,3.390647428,3.6,3,1,2,2,2,3
9603803,3.666666667,2.846153846,3.583333333,3.550546448,3.292481932,3.006767646,3.506767646,3.066666667,3,1,2,1,2,2
9601316,3.916666667,3,3.933333333,3.933333333,3.772043011,3.58156682,3.55031682,4.033333333,3,2,1,1,2,1
9577315,3.666666667,4.230769231,3.283333333,3.480054645,3.318764322,2.874319878,3.093069878,3.166666667,2,1,2,1,2,1
9567472,3.583333333,4.076923077,3.216666667,3.183879781,3.345170104,3.027709787,3.558959787,4.633333333,2,2,3,4,5,5
9545166,3.5,3.384615385,3.35,3.251639344,3.154865151,3.027881024,3.340381024,3.966666667,2,2,3,5,5,5
9426570,2.75,3.461538462,3.116666667,3.149453552,3.181711616,2.895997331,3.145997331,3.5,1,1,1,2,1,1
9406228,4,3.846153846,3.183333333,3.314480874,3.346738939,2.870548463,3.433048463,3.4,1,2,3,5,4,5
9385741,3,3.153846154,3,3.032786885,2.968270756,2.714302502,3.089302502,3.7,1,1,1,1,2,1
9371079,3.5,2.153846154,3.433333333,3.302185792,3.269927728,3.206435664,3.487685664,3.466666667,2,2,2,1,2,1
9364184,3.916666667,4.538461538,3.433333333,3.433333333,3.62688172,2.89672299,3.55297299,4.333333333,1,1,1,2,1,2
9347987,4.333333333,3.769230769,3.45,3.253278689,3.317794818,2.746366246,3.402616246,4.4,1,2,1,2,2,1
9296431,2.583333333,2.461538462,3,3.196721311,2.97091486,2.875676765,3.250676765,3,2,2,2,2,2,2
9275818,3.416666667,2.923076923,3.6,3.6,3.632258065,3.568766001,3.631266001,3.466666667,1,2,2,2,2,3
9188921,3.833333333,3.153846154,3.1,3.427868852,3.363352723,2.918908279,3.450158279,3.7,2,2,3,2,2,2
9166862,3,2.538461538,3.433333333,3.269398907,3.333915036,3.429153131,3.147903131,3.6,1,2,2,3,4,3
9090959,3.333333333,3.076923077,3.183333333,3.248907104,2.990842588,2.959096556,3.396596556,3.833333333,2,3,2,2,3,2
9047427,4.166666667,3.153846154,3.283333333,3.086612022,3.280160409,2.93095406,3.14970406,4.066666667,1,1,1,2,1,1
8955816,3.583333333,3.769230769,3.15,3.346721311,3.153172924,2.676982448,3.176982448,3.233333333,1,1,1,1,1,1
8955739,3.25,3.307692308,3.266666667,3.266666667,3.202150538,3.138658474,3.357408474,3.7,1,1,1,2,1,2
8941162,3.833333333,3.615384615,3.233333333,3.528415301,3.302608849,3.334354881,3.459354881,4,1,1,2,4,3,3
8934989,3.166666667,1.923076923,3.466666667,3.335519126,3.174228803,3.396451025,3.333951025,3.166666667,2,2,1,2,2,3
8898997,3.5,3.076923077,3,3.229508197,3.132734003,3.196226067,3.039976067,3.2,1,2,2,2,3,1
8887881,3.5,2.923076923,3.266666667,3.299453552,3.170421294,3.265659389,3.328159389,3.466666667,2,2,1,2,3,3
8843383,3.666666667,3.461538462,2.966666667,3.097814208,3.194588401,3.099350306,2.943100306,3.7,1,3,2,2,3,3
8841748,3.333333333,3.153846154,3.533333333,3.238251366,3.33502556,3.081057306,3.268557306,3.933333333,1,2,2,3,3,4
8794757,2.083333333,2.615384615,3.166666667,3.101092896,3.165609025,3.578307438,3.234557438,2.766666667,2,1,1,2,1,1
8750230,3.916666667,3.615384615,3.45,3.318852459,3.447884717,2.812964082,3.187964082,3.833333333,3,2,2,2,2,4
8747006,2.916666667,3.846153846,3.05,3.246721311,3.278979376,3.056757154,3.244257154,3.766666667,2,1,2,2,1,1
8741987,2.916666667,2.538461538,3.116666667,3.247814208,3.054265821,3.212995979,3.431745979,3.1,2,1,2,2,2,2
